bits,bpp,Y-PSNR,U-PSNR,V-PSNR,time(enc),time(dec)
38936.0,0.036,28.32587397993942,38.95259319977725,41.189901191589556,0.757,0.541
49824.0,0.046,29.226198338537426,37.48051280327704,42.74206022787815,0.555,0.528
76840.0,0.07,30.69893856425676,40.12493421814534,42.66668895493338,0.528,0.527
132840.0,0.122,32.49800166805898,42.146515697431404,45.896973740509765,0.535,0.527
202968.0,0.186,33.93241232691599,45.046796943616805,46.84942658138599,0.551,0.549
312824.0,0.287,35.7652448661402,48.018201403850696,48.82296720514093,0.532,0.525
538016.0,0.494,37.91355905863388,50.08703684086314,50.46771920201519,0.533,0.53
804936.0,0.739,39.600559581524365,51.017529649182066,51.29752216343779,0.563,0.535
