bits,bpp,Y-PSNR,U-PSNR,V-PSNR,time(enc),time(dec)
19360.0,0.024,30.40937476717594,37.91525217530481,38.06116402340559,0.564,0.398
26288.0,0.033,31.75055060283148,38.42717215420487,39.72542728822694,0.438,0.473
39368.0,0.049,33.007256724816784,40.178706218734,41.54699343354225,0.438,0.47
73328.0,0.091,34.49104485182939,43.7883218216459,44.92727761004577,0.422,0.403
105952.0,0.131,35.66298452383663,45.934234431131244,47.23313004980743,0.41,0.404
162008.0,0.201,37.3763812247037,48.64796967267027,48.744419397188,0.425,0.435
271408.0,0.337,39.49197009743031,50.49029870860502,50.1225264264322,0.408,0.404
398632.0,0.495,41.00840813736319,51.366685813758444,51.072358597932606,0.411,0.405
