bits,bpp,Y-PSNR,U-PSNR,V-PSNR,time(enc),time(dec)
64152.0,0.074,25.00066096621172,29.259228445142703,27.88574894774377,0.612,0.44
84328.0,0.098,25.872993483988523,31.9795939576831,30.05088491818848,0.463,0.43
128456.0,0.15,27.05827083086804,33.085315703832464,31.119733819146198,0.433,0.428
231952.0,0.27,29.30060936249724,34.566729580536446,32.866991642993476,0.435,0.432
375176.0,0.437,31.011392421480583,36.01663423846273,34.21606999071328,0.461,0.432
586352.0,0.683,32.851750429480504,37.27658700005746,35.541373780192515,0.443,0.436
1011216.0,1.179,35.16794201988023,38.713780837042634,37.21527965057776,0.465,0.462
1452264.0,1.693,36.23444776115726,39.38911122332645,37.93612527919639,0.474,0.458
