bits,bpp,Y-PSNR,U-PSNR,V-PSNR,time(enc),time(dec)
37088.0,0.049,30.374051138015616,29.09635156675856,27.129231380838622,0.577,0.384
48752.0,0.064,31.75102342319029,36.70400617338215,28.374304333380284,0.395,0.416
70328.0,0.093,33.22312060299055,37.9626416578071,29.69591632310721,0.401,0.398
116008.0,0.153,34.81630240614133,39.59361145732388,31.76846667661153,0.498,0.449
178904.0,0.236,36.00271204510679,39.951215915719175,33.33412968743313,0.424,0.4
266968.0,0.352,37.321142003424846,40.15848329106341,35.06980332406449,0.394,0.387
486776.0,0.642,39.158007705162575,41.0673720492581,36.77131986815661,0.417,0.389
750152.0,0.99,40.12165709397706,41.722226829782734,38.10710967923717,0.422,0.433
